Join_Date,User_ID,Name,Nationality,Password,Email,Phone_Number,Age,Gender,interests
2019-01-02,190101,John Smith,American,obgJcyOk,john.smith1@gmail.com,9282337907,45,M,"architecture, culture"
2019-02-09,190201,Cindy Chen,Chinese,OWhcyveP,cindy.chen@gmail.com,9687125215,26,F,"history, museums"
2019-03-22,190301,Sarah Johnson,British,FRDamr83,sarah.johnson@gmail.com,9075985335,29,F,"history, museums"
2019-03-19,190302,Park Min Woo,South Korean,n2IJZq01,park.min@gmail.com,9946344700,27,M,"history, museums"
2019-03-01,190303,Mark Tan,Singapore,DnRJVl_S,mark.tan@gmail.com,7926609918,45,M,"hiking, exploration"
2019-03-20,190304,Alex Ng,Cambodia,eVWf@YS9,alex.ng@gmail.com,8914525837,33,M,"adventure, beaches"
2019-04-27,190401,James Wilson,Australian,e8IGzoPp,james.wilson@gmail.com,6717146260,32,M,"history, museums"
2019-04-15,190402,Sarah Brown,British,GlatFLk7,sarah.brown@gmail.com,9579861253,37,F,"hiking, exploration"
2019-04-27,190403,Ishaan,Indian,rLFcBiu4,ishaan.user1@gmail.com,7552224840,58,M,"hiking, exploration"
2019-05-12,190501,Sarah Lee,South Korea,nujkL4rW,sarah.lee2@gmail.com,7546574574,28,F,"history, museums"
2019-06-23,190601,Kim Nguyen,Vietnamese,e8OjUu9J,kim.nguyen@gmail.com,6402346728,26,F,"hiking, exploration"
2019-06-01,190602,Sarah Lee,South Korean,XBbAenZR,sarah.lee@gmail.com,7277488494,35,F,"nature, wildlife"
2019-06-06,190603,Rohan,Indian,O6PUlBRr,rohan.user1@gmail.com,8200317751,41,M,"hiking, exploration"
2019-07-06,190701,Tom Wilson,American,kl55FEPj,tom.wilson@gmail.com,8198384384,27,M,"architecture, culture"
2019-07-24,190702,Bob Johnson,Canadian,zdDPfWOq,bob.johnson1@gmail.com,9806322974,47,M,"nature, wildlife"
2019-07-14,190703,Aarav,Indian,1CrWDQ2q,aarav.user@gmail.com,8281302050,54,M,"food, nightlife"
2019-08-22,190801,Olivia Rodriguez,British,xs9XzMFM,olivia.rodriguez@gmail.com,9515449197,35,F,"food, nightlife"
